NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR
Kepler-80 c,6.991965451441196,5.498227377724214,12.299502862307923,8.898865120016069,2.847081105658425,0.13450776877126416,0.13450776877126416,0.13450776877126416
Kepler-11 c,2.8998763548257505,2.8998763548257505,1.5999364944260321,2.2499064246258915,2.867436614665809,0.049955400692996345,0.05994641357771124,0.0549509071353538
Kepler-11 d,7.299707276288038,0.7999666581299588,1.4999386758059654,1.1499526669679623,3.117217541274047,0.05994641357771123,0.06993742646242612,0.06494192002006867
Kepler-103 b,9.699604072511802,8.599640780355529,8.599640780355529,8.599640780355529,3.36968862325771,0.0899913017983412,0.0899913017983412,0.0899913017983412
Kepler-79 e,4.099834287435975,1.2013467912021691,1.0996454755448426,1.150496133373506,3.5644558724385003,0.1434749533560151,0.1434749533560151,0.1434749533560151
Kepler-36 c,8.100827608717486,0.6015442131164004,0.46118368484483274,0.5313639489806166,3.6757162151737974,0.05395173859299791,0.05395173859299791,0.05395173859299791
Kepler-79 c,5.9113889725821025,1.906899668574872,6.483458873154565,4.195179270864718,3.799844467788213,0.08182555933585237,0.08182555933585237,0.08182555933585237
Kepler-11 e,8.400274420006024,2.4980385658330824,1.9005433363462887,2.199290951089685,4.185175598375692,0.0699193800034493,0.08989647382135747,0.07990792691240338
Kepler-89 c,9.39961697298383,2.399896796223762,2.099941478356935,2.2499191372903486,4.4129757137705585,0.4192158793371067,0.4192158793371067,0.4192158793371067
Kepler-87 c,6.399745977704128,0.7999761926283017,0.7999761926283017,0.7999761926283017,6.153730421285336,0.08967184584750944,0.08967184584750944,0.08967184584750944
Kepler-79 d,6.006733956010846,2.1007678015466507,1.5986175554886006,1.8496926785176258,7.319464417302958,0.13226597262507642,0.16365111867170473,0.1479585456483906
