"pressure","temperature"
1.569526703106926e10,2590.5000955652213
1.5772368789906397e10,2592.6227836116855
1.584955727921693e10,2594.729472366413
1.5926832525791103e10,2596.8201390105587
1.6004194555715422e10,2598.89476107835
1.6081643394295807e10,2600.9533369004635
1.6159179065912058e10,2602.995865623188
1.6236801594164371e10,2605.0223253988706
1.6314511001952852e10,2607.032694428153
1.639230731147922e10,2609.026951254651
1.6470190544246574e10,2611.00507476305
1.6548160721059074e10,2612.967044177177
1.6626217862021708e10,2614.912839058068
1.6704361986540129e10,2616.8424393020264
1.6782593113320328e10,2618.7558251386604
1.6860911260368511e10,2620.652977128926
1.6939316445949587e10,2622.5378999746576
1.7017808694145874e10,2624.4182525033834
1.70963880311063e10,2626.2952445534092
1.7175054483415295e10,2628.168870868128
1.725380807735721e10,2630.039126216283
1.7332648838914677e10,2631.9060053919547
1.741157679376689e10,2633.7695032145457
1.7490591967287888e10,2635.6296145287643
1.7569694384544846e10,2637.4863342046106
1.7648884070296394e10,2639.3396571373614
1.772816104899084e10,2641.1895782475517
1.7807525344764435e10,2643.0360924809606
1.7886976981439632e10,2644.8791948085927
1.796651598248859e10,2646.718891956119
1.8046142370876575e10,2648.555198626105
1.812585616917812e10,2650.3881124190125
1.8205657399628372e10,2652.2176282860028
1.8285546084139744e10,2654.043741202798
1.836552224430013e10,2655.8664759212666
1.8445585909496017e10,2657.6861613024894
1.8525737120754566e10,2659.503036822117
1.8605975923392212e10,2661.3170973957567
1.8686302362505825e10,2663.128337955948
1.8766716482971146e10,2664.9367534521634
1.8847218329441257e10,2666.7423388508105
1.8927807946344925e10,2668.5450891352357
1.900848537788505e10,2670.3449993057234
1.9089250668037106e10,2672.1420643795013
1.9170103860547455e10,2673.9362793907385
1.9251044998931778e10,2675.72763939055
1.9332074126473415e10,2677.5161394469933
1.9413191286221775e10,2679.301774645074
1.9494396520990623e10,2681.0845400867433
1.957568987335644e10,2682.8644308908993
1.9657071385656784e10,2684.6414421933873
1.973854109998857e10,2686.415569147
1.9820099058206383e10,2688.186806921477
1.9901745301920776e10,2689.9551507035035
1.998347987249655e10,2691.72066310761
2.0065302823187504e10,2693.4836811086852
2.0147214214580013e10,2695.2443533077144
2.0229214110422485e10,2697.002679596761
2.03113025742943e10,2698.7586552101984
2.03934796696378e10,2700.5122753930027
2.0475745459756912e10,2702.26353540076
2.0558100007815807e10,2704.012430499675
2.0640543376837532e10,2705.758955966578
2.0723075629702557e10,2707.503107088932
2.080569682914742e10,2709.244879164841
2.0888407037763268e10,2710.984267503054
2.0971206317994495e10,2712.7212674229736
2.105409473213723e10,2714.4558742546633
2.1137072342337963e10,2716.188083338854
2.122013921059201e10,2717.917890026949
2.1303295398742134e10,2719.6452896810306
2.1386540968476994e10,2721.3702776738664
2.146987598132967e10,2723.092849388917
2.1553300498676212e10,2724.8130002203384
2.1636814581734055e10,2726.530725572991
2.1720418291560543e10,2728.246076956596
2.180411170018473e10,2729.9593432208526
2.18878948871973e10,2731.670644929804
2.197176793543236e10,2733.3799777167687
2.2055730927679882e10,2735.087337221374
2.213978394668458e10,2736.79271908956
2.2223927075144913e10,2738.496118973587
2.230816039571194e10,2740.1975325320395
2.239248399095364e10,2741.896965767998
2.247689794321613e10,2743.5944306951933
2.2561402334729675e10,2745.2899249669035
2.264599724765711e10,2746.983444234694
2.2730682764107708e10,2748.674984156103
2.281545896613613e10,2750.3645403946493
2.290032593574122e10,2752.052108619839
2.2985283754864872e10,2753.7376845071694
2.307033250539087e10,2755.4212637381365
2.3155472269143757e10,2757.1028420002394
2.324070312788759e10,2758.782414986988
2.3326025163324783e10,2760.459978397904
2.341143845709489e10,2762.1355279385302
2.3496943090773453e10,2763.809059320437
2.3582539145870674e10,2765.480571966583
2.3668226708701683e10,2767.150276388389
2.3754005877519276e10,2768.8183721537425
2.3839876754931713e10,2770.484855296088
2.3925839443603638e10,2772.149721851727
2.401189404625546e10,2773.8129678598216
2.409804066566274e10,2775.4745893623963
2.4184279404655464e10,2777.134582404341
2.4270610366117485e10,2778.792943033415
2.4357033652985733e10,2780.4496673002477
2.4443549368249657e10,2782.104751258342
2.453015761495045e10,2783.758190964075
2.46168584961804e10,2785.409982476704
2.4703652115082165e10,2787.060121858365
2.479053857484812e10,2788.7086051740775
2.4877517978714024e10,2790.355433772413
2.49645904297901e10,2792.000621039851
2.5051756031164738e10,2793.644167038076
2.5139014885940598e10,2795.286067813783
2.522636709726548e10,2796.9263194162295
2.5313812768331528e10,2798.5649178972367
2.5401352002374546e10,2800.201859311193
2.5488984902673103e10,2801.8371397150536
2.557671157254781e10,2803.470755168345
2.566453211536048e10,2805.1020752048607
2.5752446645721012e10,2806.7277241763445
2.5840455286306423e10,2808.346199938206
2.5928558163244766e10,2809.9574880196437
2.601675540267572e10,2811.561573985565
2.610504713075001e10,2813.1584434364618
2.6193433473628666e10,2814.7480820082824
2.6281914557482407e10,2816.3304753723023
2.637049050849096e10,2817.9056092349942
2.6459161452842426e10,2819.473469337897
2.6547927516732536e10,2821.034041457483
2.663678882636401e10,2822.5873114050223
2.672574550794593e10,2824.13326502645
2.6814797687692932e10,2825.671888202227
2.6903945491824596e10,2827.2031668472036
2.6993189046564716e10,2828.7270869104805
2.7082528478140636e10,2830.243634375268
2.7171963912782494e10,2831.752795258744
2.7261495476722523e10,2833.2545556119126
2.735112329619434e10,2834.748901519459
2.7440847497432236e10,2836.2358190996065
2.7530668206670437e10,2837.715294503968
2.7620585550142345e10,2839.1873139174
2.7710599654128456e10,2840.653785795894
2.7800710645078636e10,2842.116920529389
2.7890918649559704e10,2843.577569329183
2.798122380574713e10,2845.0391991317842
2.807162626316637e10,2846.5034370081175
2.8162126176140617e10,2847.9699716677223
2.8252723699335106e10,2849.4384889713824
2.8343418987755013e10,2850.908672049198
2.8434212196743332e10,2852.3802014216794
2.8525103481978676e10,2853.8527551238194
2.8616092999473137e10,2855.326008832084
2.870718090557003e10,2856.799635994284
2.8798367356941692e10,2858.2733079622644
2.8889652510587135e10,2859.746694127353
2.8981036523829784e10,2861.2194620585033
2.9072519554315113e10,2862.691277643072
2.916410176000836e10,2864.1618052301487
2.9255783299192043e10,2865.63070777637
2.9347564330463604e10,2867.0976469941374
2.9439445012733013e10,2868.5622835021536
2.953142550522027e10,2870.024276978196
2.9623505967452953e10,2871.4832863140273
2.971568655926375e10,2872.93896977236
2.9807967440787968e10,2874.390985145766
2.990034877246096e10,2875.838989917436
2.999283071501569e10,2877.282641423678
3.008541342948009e10,2878.7215970180537
3.0178097077174618e10,2880.1555142370266
3.027088181970959e10,2881.584050967019
3.036376782091867e10,2883.0085794454976
3.045675525672984e10,2884.432003079075
3.054984430800667e10,2885.8547640834813
3.06430351573906e10,2887.2768604053426
3.073632798804145e10,2888.6982899896125
3.0829722983639538e10,2890.1190518712315
3.0923220328308456e10,2891.5391550941918
3.1016820206586815e10,2892.958605421427
3.1110522803497204e10,2894.3774007832985
3.120432830458978e10,2895.795539108295
3.129823689594433e10,2897.213018323023
3.1392248764172394e10,2898.6298363521987
3.1486364096419384e10,2900.045991118638
3.1580583080366722e10,2901.461480543249
3.1674905904233925e10,2902.876302545022
3.1769332756780823e10,2904.2904550410212
3.1863863827309643e10,2905.703935946374
3.195849930566724e10,2907.1167431742624
3.2053239382247215e10,2908.5288746359156
3.2148084247992138e10,2909.940328240598
3.2243034094395756e10,2911.351101895599
3.233808911350516e10,2912.7611935062278
3.243324949792304e10,2914.1706009757977
3.252851544080987e10,2915.579322205621
3.262388713588626e10,2916.987355094997
3.2719364777435055e10,2918.394697541203
3.281494856030369e10,2919.8013474394825
3.291063867990644e10,2921.2073026830376
3.3006435331030422e10,2922.617532895818
3.310233870230904e10,2924.040662617528
3.319834898063668e10,2925.477932895955
3.329446635312992e10,2926.9293727237996
3.3390691007843533e10,2928.39501126886
3.3487023133781e10,2929.874877875206
